,Time,PtC,PbC out,PbC in,PtT,Pbt out,PbT in,Engine rpm,C/C pres,C/C pres,C/C pres,C/C pres,C/C pres,TimeET,aps_pos_%,egr_gas_press_kPa,eng_rpm_rpm,EB Status,trb_spd_est_rpm,Air,oil_press_kPa,oil_temp_degC
,,,,,,,,,,,,,,,,,,,,,,
Sr,Time,PtC,PcBout,PbCin,PtT,PbTcout,PbTin,Erpm,,,,,,,,,,,TCrpm,AirFlow,Poil,Toil
205,20.4,-0.5,-2.3,-2.4,291.3,297.9,288.7,1702,0,-2.3,-2.4,297.9,288.7,20.4,0,402.625,1699.375,1,65944,31.5625,262.25,106.25
206,20.5,-0.6,-2.4,-2.3,306.1,309.9,307.3,1704,0,-2.4,-2.3,309.9,307.3,20.5,0,0,0,0,0,0,0,0
207,20.6,-0.2,-1.7,-2.4,304.2,309.3,305.3,1699,0,-1.7,-2.4,309.3,305.3,20.6,0,0,0,0,0,0,0,0
208,20.7,-0.5,-2.3,-2.4,291.7,296.2,288.5,1702,0,-2.3,-2.4,296.2,288.5,20.7,0,0,0,0,0,0,0,0
209,20.8,-0.6,-2.5,-2.3,306.4,310.5,307.3,1702,0,-2.5,-2.3,310.5,307.3,20.8,0,0,0,0,0,0,0,0
210,20.9,0,-1.7,-2.3,301.9,307.4,303.1,1698,0,-1.7,-2.3,307.4,303.1,20.9,0,0,0,0,0,0,0,0
211,21,-0.4,-2.2,-2.3,292.7,295.7,288.3,1702,0,-2.2,-2.3,295.7,288.3,21,0,0,0,0,0,0,0,0
212,21.1,-0.6,-2.5,-2.3,306.1,310,307.2,1702,0,-2.5,-2.3,310,307.2,21.1,0,0,0,0,0,0,0,0
213,21.2,0,-1.6,-2.4,301.4,306.7,303.9,1702,0,-1.6,-2.4,306.7,303.9,21.2,0,0,0,0,0,0,0,0
214,21.3,-0.4,-2,-2.3,288.6,292.8,285.7,1694,0,-2,-2.3,292.8,285.7,21.3,0,0,0,0,0,0,0,0
215,21.4,-0.6,-2.4,-2.3,305.6,309.9,305.8,1700,0,-2.4,-2.3,309.9,305.8,21.4,0,0,0,0,0,0,0,0
216,21.5,0,-1.6,-2.3,300.5,305.6,301.7,1699,0,-1.6,-2.3,305.6,301.7,21.5,0,0,0,0,0,0,0,0
217,21.6,-0.5,-2.1,-2.4,291,295.5,288.1,1700,0,-2.1,-2.4,295.5,288.1,21.6,0,0,0,0,0,0,0,0
218,21.7,-0.7,-2.3,-2.3,304.8,308.9,305.5,1702,0,-2.3,-2.3,308.9,305.5,21.7,0,0,0,0,0,0,0,0
219,21.8,-0.1,-2,-2.4,303.7,308.6,303.1,1698,0,-2,-2.4,308.6,303.1,21.8,0,0,0,0,0,0,0,0
220,21.9,-0.5,-2.2,-2.4,285.3,289.8,283.9,1704,0,-2.2,-2.4,289.8,283.9,21.9,0,0,0,0,0,0,0,0
221,22,-0.6,-2.2,-2.3,305.4,308.5,306.3,1702,0,-2.2,-2.3,308.5,306.3,22,0,0,0,0,0,0,0,0
222,22.1,0,-1.7,-2.3,300.5,304.7,302.7,1700,0,-1.7,-2.3,304.7,302.7,22.1,0,0,0,0,0,0,0,0
223,22.2,-0.2,-2,-2.4,287.6,291.7,285.8,1696,0,-2,-2.4,291.7,285.8,22.2,0,0,0,0,0,0,0,0
224,22.3,-0.5,-2.3,-2.2,304.5,308.1,306.5,1702,0,-2.3,-2.2,308.1,306.5,22.3,0,0,0,0,0,0,0,0
225,22.4,0,-1.7,-2.4,301,307,302,1700,0,-1.7,-2.4,307,302,22.4,0,0,0,0,0,0,0,0
226,22.5,-0.3,-2.1,-2.4,281.5,287.9,286.2,1701,0,-2.1,-2.4,287.9,286.2,22.5,0,0,0,0,0,0,0,0
227,22.6,-0.6,-2.3,-2.3,305,309.9,304.8,1698,0,-2.3,-2.3,309.9,304.8,22.6,0,0,0,0,0,0,0,0
228,22.7,0,-1.7,-2.3,298,304.1,300.1,1701,0,-1.7,-2.3,304.1,300.1,22.7,0,0,0,0,0,0,0,0
229,22.8,-0.5,-2.2,-2.4,286.7,291.3,285.8,1701,0,-2.2,-2.4,291.3,285.8,22.8,0,0,0,0,0,0,0,0
230,22.9,-0.6,-2.4,-2.3,303.8,307.1,304.4,1703,0,-2.4,-2.3,307.1,304.4,22.9,0,0,0,0,0,0,0,0
231,23,-0.1,-1.7,-2.3,302.9,307.5,300.1,1700,0,-1.7,-2.3,307.5,300.1,23,0,0,0,0,0,0,0,0
232,23.1,-0.4,-2.1,-2.4,280.1,284.6,286,1700,0,-2.1,-2.4,284.6,286,23.1,0,0,0,0,0,0,0,0
233,23.2,-0.6,-2.3,-2.4,305,308.4,305,1698,0,-2.3,-2.4,308.4,305,23.2,0,0,0,0,0,0,0,0
234,23.3,-0.2,-1.8,-2.4,298.8,302.9,300.2,1702,0,-1.8,-2.4,302.9,300.2,23.3,0,0,0,0,0,0,0,0
235,23.4,-0.3,-2.1,-2.4,282.3,288.5,283.8,1700,0,-2.1,-2.4,288.5,283.8,23.4,0,0,0,0,0,0,0,0
236,23.5,-0.5,-2.1,-2.3,301.9,305.2,305,1701,0,-2.1,-2.3,305.2,305,23.5,0,0,0,0,0,0,0,0
237,23.6,0,-1.6,-2.4,302.2,307.1,299.5,1698,0,-1.6,-2.4,307.1,299.5,23.6,0,0,0,0,0,0,0,0
238,23.7,-0.5,-2.3,-2.4,280.3,283.6,285.4,1703,0,-2.3,-2.4,283.6,285.4,23.7,0,0,0,0,0,0,0,0
239,23.8,-0.7,-2.4,-2.3,304.5,308,304.3,1699,0,-2.4,-2.3,308,304.3,23.8,0,0,0,0,0,0,0,0
240,23.9,-0.2,-1.7,-2.4,304.5,302,299.3,1700,0,-1.7,-2.4,302,299.3,23.9,0,0,0,0,0,0,0,0
241,24,-0.5,-2.2,-2.4,281.4,286.8,284.3,1703,0,-2.2,-2.4,286.8,284.3,24,0,0,0,0,0,0,0,0
242,24.1,-0.6,-2.2,-2.3,302.6,304.5,301.7,1705,0,-2.2,-2.3,304.5,301.7,24.1,0,0,0,0,0,0,0,0
243,24.2,0,-1.8,-2.3,300.7,306,298.3,1696,0,-1.8,-2.3,306,298.3,24.2,0,0,0,0,0,0,0,0
244,24.3,-0.4,-2.2,-2.4,276.3,283,283.9,1702,0,-2.2,-2.4,283,283.9,24.3,0,0,0,0,0,0,0,0
245,24.4,-0.6,-2.3,-2.3,303.6,307.4,303.5,1700,0,-2.3,-2.3,307.4,303.5,24.4,0,0,0,0,0,0,0,0
246,24.5,-0.1,-1.8,-2.3,297.5,302.2,299.1,1702,0,-1.8,-2.3,302.2,299.1,24.5,0,0,0,0,0,0,0,0
247,24.6,-0.4,-2.1,-2.3,280.1,285.6,284.1,1700,0,-2.1,-2.3,285.6,284.1,24.6,0,0,0,0,0,0,0,0
248,24.7,-0.5,-2.3,-2.2,302.6,304.5,305,1702,0,-2.3,-2.2,304.5,305,24.7,0,0,0,0,0,0,0,0
249,24.8,-0.1,-1.6,-2.3,301.7,304.5,298.2,1703,0,-1.6,-2.3,304.5,298.2,24.8,0,0,0,0,0,0,0,0
