Datnum,TS,CAF,FEF,SPEED,N_TC_H,P AMB,P1C_H,P1T_H,P2C_H,P2T cor,Pbc in,Pbc out,Pbt in,Pbt out,Pc tip,Pt tip,P_OIL_H,T1C_H,T1T_H,T2C_H,T2T cor,T_OIL_H
1,s,kghr,kg/hr,rpm,rpm,kPaA,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,kPaG,bar,degC,degC,degC,degC,degC
Sr,Time,AirFlow,FuelFlow,Erpm,TCrpm,Pamb,P1C,P1T,P2C,P2T,PbCin,PbCout,PbTin,PbTout,PtC,PtT,Poil,T1C,T1T,T2C,T2T,Toil
159,16.606,162.3,11.04081633,4000,59332,101.3,0.27,388.49,11.85,378.49,7.78997,5.70319,358.84512,358.84512,5.216083244,385.7394744,3.77,20.7,230.53,67.88,218.489096,95.46
160,16.706,162,11.02040816,4000,59411,101.3,0.27,388.22,11.85,378.22,7.4962,5.62215,358.26771,358.26771,5.212662904,385.4694625,3.77,20.64,231.9,67.75,220.4549498,95.5
161,16.806,162.6,11.06122449,4000,59457,101.3,0.27,388.19,11.78,378.19,7.22269,5.61202,358.08537,358.08537,5.121417203,385.4394612,3.77,20.71,233.02,67.56,222.3165409,95.51
162,16.906,164.3,11.17687075,4000,59333,101.3,0.27,388.5,11.77,378.5,6.97957,5.61202,359.133825,359.133825,5.08205484,385.7494748,3.76,20.67,234.14,67.3,224.0738691,95.47
163,17.006,163.4,11.11564626,4000,59180,101.3,0.27,389.68,11.8,379.68,6.76684,5.61202,360.54696,360.54696,5.157824885,386.9295264,3.75,20.66,235.24,67.08,225.7269345,95.58
164,17.106,161.8,11.00680272,4000,59125,101.3,0.27,389.48,11.78,379.48,6.55411,5.68293,360.359555,360.359555,5.189364504,386.7295176,3.75,20.64,236.32,66.87,227.2757371,95.45
165,17.206,160.5,10.91836735,4000,59190,101.3,0.27,388.53,11.77,378.53,6.41229,5.62215,359.39214,359.39214,5.205624142,385.7794761,3.75,20.68,237.41,66.66,228.7202768,95.47
166,17.306,161.5,10.98639456,4000,59269,101.3,0.27,388.51,11.72,378.51,6.26034,5.59176,358.53109,358.53109,5.118523518,385.7594752,3.75,20.7,238.31,66.4,230.0605538,95.47
167,17.406,163.1,11.0952381,4000,59258,101.3,0.27,388.7,11.7,378.7,6.10839,5.56137,359.12876,359.12876,5.05656865,385.9494836,3.75,20.66,239.38,66.24,231.2965679,95.45
168,17.506,163.1,11.0952381,4000,59246,101.3,0.27,388.38,11.76,378.38,6.02735,5.62215,359.2098,359.2098,5.117388694,385.6294695,3.75,20.66,240.25,66.1,232.4283191,95.56
169,17.606,162.7,11.06802721,4000,59203,101.3,0.27,388.8,11.77,378.8,5.90579,5.61202,359.488375,359.488375,5.1441524,386.0494879,3.75,20.65,241.09,65.84,233.4558076,95.4
