Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
550.00	0.10000	0.46742	2.1394	576.71	790.65	7.4031	0.79937	1.0593	532.53	-0.097633	4.3149e-05	0.067602	vapor
560.00	0.10000	0.46181	2.1654	584.72	801.25	7.4159	0.80139	1.0613	535.59	-0.11059	4.3502e-05	0.068316	vapor
570.00	0.10000	0.45633	2.1914	592.74	811.88	7.4286	0.80337	1.0633	538.63	-0.12314	4.3854e-05	0.069027	vapor
580.00	0.10000	0.45099	2.2174	600.78	822.52	7.4411	0.80532	1.0653	541.65	-0.13528	4.4204e-05	0.069734	vapor
590.00	0.10000	0.44576	2.2434	608.85	833.18	7.4536	0.80723	1.0672	544.66	-0.14704	4.4552e-05	0.070438	vapor
600.00	0.10000	0.44066	2.2693	616.93	843.86	7.4659	0.80910	1.0690	547.65	-0.15844	4.4899e-05	0.071137	vapor
610.00	0.10000	0.43567	2.2953	625.03	854.56	7.4780	0.81093	1.0709	550.62	-0.16949	4.5243e-05	0.071833	vapor
620.00	0.10000	0.43079	2.3213	633.15	865.28	7.4901	0.81273	1.0727	553.58	-0.18020	4.5586e-05	0.072525	vapor
630.00	0.10000	0.42602	2.3473	641.29	876.02	7.5021	0.81450	1.0744	556.53	-0.19059	4.5927e-05	0.073213	vapor
640.00	0.10000	0.42136	2.3733	649.44	886.77	7.5139	0.81623	1.0762	559.45	-0.20068	4.6266e-05	0.073898	vapor
650.00	0.10000	0.41679	2.3993	657.61	897.54	7.5256	0.81792	1.0778	562.37	-0.21046	4.6604e-05	0.074579	vapor
660.00	0.10000	0.41233	2.4253	665.80	908.33	7.5373	0.81959	1.0795	565.26	-0.21997	4.6940e-05	0.075256	vapor
670.00	0.10000	0.40795	2.4513	674.00	919.13	7.5488	0.82122	1.0811	568.15	-0.22920	4.7275e-05	0.075929	vapor
680.00	0.10000	0.40367	2.4772	682.22	929.95	7.5602	0.82282	1.0827	571.02	-0.23816	4.7608e-05	0.076598	vapor
690.00	0.10000	0.39948	2.5032	690.46	940.78	7.5715	0.82439	1.0843	573.87	-0.24688	4.7939e-05	0.077264	vapor
700.00	0.10000	0.39538	2.5292	698.71	951.63	7.5827	0.82593	1.0858	576.71	-0.25536	4.8269e-05	0.077926	vapor
