	Time	á@PtC	áAPbC out	áBPbC in	áCPtT	áDPbt out	áEPbT in	ÉGÉìÉWÉìâÒì]êî	C/Cì‡à≥	áA-C/Cì‡à≥	áB-C/Cì‡à≥	áD-C/Cì‡à≥	áE-C/Cì‡à≥	aps_pos	egr_gas_press	eng_rpm	exh_exb_control_status	exh_exb_enable_status	exh_relay_control_status			"Åhá@PtCÅhÇ∆""áCPtT""ÇÃà≥óÕç∑"
														VNT			EB	EB	EB			
Sr	Time	PtC	PbCout	PbCin	PtT	PbTout	PbTin	Erpm							P2T	Erpm						
249	24.8	0	-1.3	-1.4	187.9	190.3	192.8	1100	0.2	-1.5	-1.6	190.1	192.6	0	286.249864	1100.562636	1	1	1			187.9
250	24.9	0.1	-1.2	-1.5	187	189.4	182.9	1103	0.2	-1.4	-1.7	189.2	182.7	0	286.153525	1100.489099	1	1	1			186.9
251	25	0.1	-1.2	-1.6	179.1	183.2	182.8	1096	0.2	-1.4	-1.8	183	182.6	0	286.015221	1100.448186	1	1	1			179
252	25.1	0	-1.2	-1.4	187.4	189.9	190.5	1100	0.2	-1.4	-1.6	189.7	190.3	0	286.01575	1100.57825	1	1	1			187.4
253	25.2	0.2	-1.2	-1.5	186.7	189.4	183.4	1099	0.2	-1.4	-1.7	189.2	183.2	0	285.979087	1100.625	1	1	1			186.5
254	25.3	0.2	-1.2	-1.5	178.6	182.8	182.8	1098	0.2	-1.4	-1.7	182.6	182.6	0	285.715601	1100.625	1	1	1			178.4
255	25.4	-0.2	-1.6	-1.5	187.4	191	192	1100	0.2	-1.8	-1.7	190.8	191.8	0	285.718984	1100.718984	1	1	1			187.6
256	25.5	0.1	-1.3	-1.4	189	190.7	183.3	1102	0.2	-1.5	-1.6	190.5	183.1	0	285.799607	1100.75	1	1	1			188.9
257	25.6	0.1	-1.2	-1.5	177.9	182.3	182	1098	0.2	-1.4	-1.7	182.1	181.8	0	286.020943	1100.854221	1	1	1			177.8
258	25.7	-0.2	-1.5	-1.5	185.5	189.8	190.6	1098	0.2	-1.7	-1.7	189.6	190.4	0	285.788713	1100.65597	1	1	1			185.7
259	25.8	0.1	-1.3	-1.4	187.6	190.4	184	1099	0.2	-1.5	-1.6	190.2	183.8	0	285.75	1100.739855	1	1	1			187.5
260	25.9	0.1	-1.2	-1.5	177.5	181.2	182.9	1099	0.2	-1.4	-1.7	181	182.7	0	285.870073	1100.75	1	1	1			177.4
261	26	-0.2	-1.6	-1.5	185.1	188.9	190.2	1103	0.2	-1.8	-1.7	188.7	190	0	285.1875	1100.75	1	1	1			185.3
262	26.1	0.3	-1.1	-1.4	187.9	189.9	183.7	1102	0.2	-1.3	-1.6	189.7	183.5	0	285.182069	1100.75	1	1	1			187.6
263	26.2	0.1	-1.1	-1.5	177.2	181.3	181	1101	0.2	-1.3	-1.7	181.1	180.8	0	284.989552	1100.760448	1	1	1			177.1
264	26.3	-0.2	-1.6	-1.4	186	188.9	190.9	1097	0.2	-1.8	-1.6	188.7	190.7	0	284.844767	1100.859883	1	1	1			186.2
265	26.4	0.1	-1.1	-1.4	187.9	190.7	184.9	1103	0.2	-1.3	-1.6	190.5	184.7	0	284.688389	1100.75	1	1	1			187.8
266	26.5	0.2	-1.1	-1.6	176.6	181.3	181.8	1100	0.2	-1.3	-1.8	181.1	181.6	0	285.026293	1100.75	1	1	1			176.4
267	26.6	-0.1	-1.4	-1.4	184.1	187.4	190	1103	0.2	-1.6	-1.6	187.2	189.8	0	285.030961	1100.718654	1	1	1			184.2
268	26.7	0.1	-1.2	-1.5	187.6	190	183.3	1099	0.2	-1.4	-1.7	189.8	183.1	0	284.658461	1100.661615	1	1	1			187.5
269	26.8	0.2	-1.1	-1.6	178.2	182.3	181.1	1093	0.2	-1.3	-1.8	182.1	180.9	0	284.290814	1100.75	1	1	1			178
270	26.9	-0.3	-1.6	-1.5	184.1	187.4	188.7	1103	0.2	-1.8	-1.7	187.2	188.5	0	284.283014	1100.797169	1	1	1			184.4
271	27	0	-1.3	-1.5	187.6	190.9	187.5	1100	0.2	-1.5	-1.7	190.7	187.3	0	284.566913	1100.875	1	1	1			187.6
272	27.1	0.4	-1.1	-1.5	176.3	179.9	181	1100	0.2	-1.3	-1.7	179.7	180.8	0	284.255137	1100.817637	1	1	1			175.9
273	27.2	-0.2	-1.5	-1.5	183.9	187.6	188.2	1101	0.2	-1.7	-1.7	187.4	188	0	284.250205	1100.75	1	1	1			184.1
274	27.3	0.1	-1.2	-1.5	186.2	189.5	185.8	1101	0.2	-1.4	-1.7	189.3	185.6	0	284.210447	1100.75	1	1	1			186.1
275	27.4	0.3	-0.9	-1.5	177.2	181.3	179.6	1101	0.2	-1.1	-1.7	181.1	179.4	0	284.271398	1100.75	1	1	1			176.9
276	27.5	-0.2	-1.8	-1.4	182.2	185.7	187.1	1105	0.2	-2	-1.6	185.5	186.9	0	284.023011	1100.75	1	1	1			182.4
277	27.6	0.2	-1.1	-1.4	187.6	190.4	185.8	1101	0.2	-1.3	-1.6	190.2	185.6	0	283.770802	1100.75	1	1	1			187.4
278	27.7	0.5	-0.7	-1.6	175.8	179.7	181.4	1103	0.2	-0.9	-1.8	179.5	181.2	0	283.83883	1100.75	1	1	1			175.3
