Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	3.0000	49.712	0.020116	149.66	210.01	5.3077	0.66554	0.99851	294.25	3.7157	1.8254e-05	0.023296	vapor
-20.000	3.0000	47.416	0.021090	156.68	219.95	5.3478	0.66466	0.98960	301.21	3.4493	1.8782e-05	0.024032	vapor
-10.000	3.0000	45.346	0.022053	163.65	229.81	5.3860	0.66424	0.98244	307.90	3.2091	1.9309e-05	0.024774	vapor
0.0000	3.0000	43.467	0.023006	170.58	239.60	5.4225	0.66420	0.97670	314.37	2.9913	1.9833e-05	0.025520	vapor
10.000	3.0000	41.751	0.023951	177.49	249.34	5.4576	0.66450	0.97212	320.62	2.7928	2.0356e-05	0.026271	vapor
20.000	3.0000	40.177	0.024890	184.38	259.05	5.4912	0.66509	0.96849	326.69	2.6111	2.0875e-05	0.027025	vapor
30.000	3.0000	38.726	0.025822	191.25	268.72	5.5237	0.66596	0.96568	332.58	2.4439	2.1391e-05	0.027781	vapor
40.000	3.0000	37.384	0.026749	198.11	278.36	5.5550	0.66708	0.96357	338.31	2.2897	2.1902e-05	0.028540	vapor
50.000	3.0000	36.138	0.027672	204.97	287.99	5.5852	0.66843	0.96207	343.89	2.1470	2.2410e-05	0.029304	vapor
60.000	3.0000	34.977	0.028590	211.83	297.60	5.6146	0.66999	0.96110	349.33	2.0145	2.2914e-05	0.030071	vapor
70.000	3.0000	33.893	0.029504	218.70	307.21	5.6430	0.67174	0.96059	354.65	1.8912	2.3414e-05	0.030841	vapor
80.000	3.0000	32.878	0.030416	225.57	316.82	5.6706	0.67366	0.96049	359.84	1.7763	2.3909e-05	0.031613	vapor
90.000	3.0000	31.925	0.031324	232.45	326.42	5.6974	0.67575	0.96076	364.92	1.6688	2.4401e-05	0.032387	vapor
100.00	3.0000	31.028	0.032229	239.35	336.03	5.7235	0.67799	0.96135	369.90	1.5683	2.4888e-05	0.033164	vapor
110.00	3.0000	30.182	0.033132	246.26	345.65	5.7489	0.68037	0.96223	374.77	1.4740	2.5370e-05	0.033944	vapor
120.00	3.0000	29.384	0.034033	253.18	355.28	5.7737	0.68286	0.96336	379.55	1.3854	2.5849e-05	0.034725	vapor
130.00	3.0000	28.628	0.034931	260.13	364.92	5.7979	0.68547	0.96473	384.24	1.3021	2.6323e-05	0.035509	vapor
140.00	3.0000	27.911	0.035828	267.09	374.57	5.8216	0.68817	0.96629	388.85	1.2236	2.6793e-05	0.036294	vapor
150.00	3.0000	27.231	0.036723	274.08	384.25	5.8447	0.69095	0.96803	393.38	1.1497	2.7259e-05	0.037081	vapor
160.00	3.0000	26.584	0.037616	281.09	393.94	5.8674	0.69381	0.96993	397.83	1.0799	2.7721e-05	0.037870	vapor
170.00	3.0000	25.969	0.038508	288.12	403.65	5.8895	0.69673	0.97197	402.21	1.0139	2.8180e-05	0.038660	vapor
180.00	3.0000	25.382	0.039399	295.18	413.38	5.9112	0.69970	0.97413	406.52	0.95155	2.8634e-05	0.039452	vapor
190.00	3.0000	24.821	0.040288	302.26	423.13	5.9325	0.70271	0.97639	410.77	0.89249	2.9084e-05	0.040244	vapor
200.00	3.0000	24.286	0.041176	309.38	432.90	5.9534	0.70576	0.97874	414.96	0.83653	2.9531e-05	0.041037	vapor
210.00	3.0000	23.774	0.042063	316.51	442.70	5.9739	0.70884	0.98116	419.10	0.78347	2.9974e-05	0.041830	vapor
220.00	3.0000	23.283	0.042949	323.68	452.53	5.9940	0.71193	0.98365	423.17	0.73309	3.0413e-05	0.042624	vapor
230.00	3.0000	22.813	0.043834	330.87	462.38	6.0138	0.71503	0.98619	427.20	0.68525	3.0849e-05	0.043417	vapor
240.00	3.0000	22.362	0.044718	338.10	472.25	6.0332	0.71814	0.98877	431.17	0.63976	3.1282e-05	0.044211	vapor
250.00	3.0000	21.929	0.045602	345.35	482.15	6.0523	0.72125	0.99138	435.10	0.59648	3.1711e-05	0.045004	vapor
260.00	3.0000	21.513	0.046484	352.63	492.08	6.0711	0.72435	0.99403	438.98	0.55527	3.2137e-05	0.045796	vapor
270.00	3.0000	21.112	0.047366	359.93	502.03	6.0896	0.72744	0.99668	442.81	0.51601	3.2559e-05	0.046588	vapor
280.00	3.0000	20.726	0.048248	367.27	512.01	6.1078	0.73051	0.99935	446.61	0.47858	3.2978e-05	0.047379	vapor
290.00	3.0000	20.355	0.049128	374.63	522.02	6.1258	0.73357	1.0020	450.36	0.44287	3.3394e-05	0.048168	vapor
300.00	3.0000	19.997	0.050008	382.03	532.05	6.1434	0.73660	1.0047	454.08	0.40877	3.3807e-05	0.048956	vapor
310.00	3.0000	19.651	0.050887	389.45	542.11	6.1608	0.73960	1.0074	457.76	0.37619	3.4217e-05	0.049742	vapor
320.00	3.0000	19.318	0.051766	396.90	552.20	6.1780	0.74258	1.0100	461.40	0.34504	3.4624e-05	0.050527	vapor
330.00	3.0000	18.995	0.052645	404.38	562.31	6.1949	0.74552	1.0127	465.01	0.31525	3.5029e-05	0.051310	vapor
340.00	3.0000	18.684	0.053523	411.89	572.45	6.2116	0.74843	1.0153	468.58	0.28673	3.5430e-05	0.052090	vapor
350.00	3.0000	18.382	0.054400	419.42	582.62	6.2280	0.75130	1.0179	472.12	0.25942	3.5829e-05	0.052869	vapor
360.00	3.0000	18.091	0.055277	426.98	592.81	6.2442	0.75413	1.0205	475.64	0.23324	3.6224e-05	0.053645	vapor
370.00	3.0000	17.808	0.056154	434.57	603.03	6.2602	0.75693	1.0230	479.12	0.20814	3.6618e-05	0.054418	vapor
380.00	3.0000	17.535	0.057030	442.18	613.27	6.2760	0.75969	1.0255	482.57	0.18406	3.7008e-05	0.055189	vapor
390.00	3.0000	17.269	0.057906	449.82	623.54	6.2916	0.76240	1.0280	486.00	0.16093	3.7396e-05	0.055957	vapor
400.00	3.0000	17.012	0.058781	457.49	633.83	6.3071	0.76507	1.0305	489.40	0.13872	3.7782e-05	0.056723	vapor
410.00	3.0000	16.763	0.059656	465.18	644.15	6.3223	0.76770	1.0329	492.77	0.11738	3.8165e-05	0.057485	vapor
420.00	3.0000	16.520	0.060531	472.90	654.49	6.3373	0.77029	1.0354	496.11	0.096853	3.8545e-05	0.058245	vapor
430.00	3.0000	16.285	0.061406	480.64	664.86	6.3521	0.77284	1.0377	499.44	0.077106	3.8923e-05	0.059001	vapor
440.00	3.0000	16.056	0.062280	488.40	675.24	6.3668	0.77534	1.0401	502.73	0.058097	3.9299e-05	0.059754	vapor
450.00	3.0000	15.834	0.063154	496.19	685.66	6.3813	0.77780	1.0424	506.01	0.039790	3.9673e-05	0.060504	vapor
460.00	3.0000	15.618	0.064028	504.01	696.09	6.3956	0.78022	1.0446	509.26	0.022151	4.0044e-05	0.061251	vapor
470.00	3.0000	15.408	0.064901	511.84	706.55	6.4098	0.78259	1.0468	512.49	0.0051454	4.0414e-05	0.061994	vapor
480.00	3.0000	15.203	0.065775	519.70	717.03	6.4238	0.78492	1.0490	515.70	-0.011256	4.0781e-05	0.062734	vapor
490.00	3.0000	15.004	0.066648	527.59	727.53	6.4377	0.78721	1.0512	518.88	-0.027082	4.1145e-05	0.063471	vapor
500.00	3.0000	14.810	0.067521	535.49	738.05	6.4514	0.78945	1.0533	522.05	-0.042360	4.1508e-05	0.064204	vapor
510.00	3.0000	14.621	0.068393	543.42	748.60	6.4649	0.79166	1.0554	525.19	-0.057116	4.1869e-05	0.064933	vapor
520.00	3.0000	14.437	0.069266	551.36	759.16	6.4783	0.79382	1.0574	528.32	-0.071374	4.2228e-05	0.065659	vapor
530.00	3.0000	14.258	0.070138	559.33	769.74	6.4916	0.79594	1.0594	531.42	-0.085157	4.2585e-05	0.066381	vapor
540.00	3.0000	14.083	0.071010	567.32	780.35	6.5047	0.79803	1.0614	534.51	-0.098485	4.2940e-05	0.067100	vapor
