Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1370.0	0.10000	0.20500	4.8781	1371.9	1859.7	8.7485	0.96122	1.2580	799.11	-0.82269	5.7336e-05	0.096745	vapor
1380.0	0.10000	0.20376	4.9077	1381.5	1872.3	8.7562	0.96211	1.2589	801.45	-0.82429	5.7561e-05	0.097183	vapor
1390.0	0.10000	0.20253	4.9374	1391.2	1884.9	8.7638	0.96299	1.2598	803.79	-0.82586	5.7786e-05	0.097620	vapor
1400.0	0.10000	0.20132	4.9671	1400.8	1897.5	8.7713	0.96386	1.2607	806.11	-0.82740	5.8011e-05	0.098056	vapor
1410.0	0.10000	0.20013	4.9968	1410.4	1910.1	8.7788	0.96472	1.2615	808.43	-0.82890	5.8236e-05	0.098491	vapor
1420.0	0.10000	0.19895	5.0265	1420.1	1922.7	8.7863	0.96557	1.2624	810.74	-0.83038	5.8460e-05	0.098925	vapor
1430.0	0.10000	0.19778	5.0561	1429.7	1935.4	8.7937	0.96641	1.2632	813.05	-0.83184	5.8683e-05	0.099358	vapor
1440.0	0.10000	0.19662	5.0858	1439.4	1948.0	8.8011	0.96724	1.2641	815.35	-0.83326	5.8906e-05	0.099790	vapor
1450.0	0.10000	0.19548	5.1155	1449.1	1960.6	8.8085	0.96806	1.2649	817.64	-0.83466	5.9129e-05	0.10022	vapor
1460.0	0.10000	0.19436	5.1452	1458.8	1973.3	8.8158	0.96887	1.2657	819.93	-0.83603	5.9352e-05	0.10065	vapor
1470.0	0.10000	0.19324	5.1749	1468.5	1985.9	8.8231	0.96967	1.2665	822.21	-0.83738	5.9574e-05	0.10108	vapor
1480.0	0.10000	0.19214	5.2045	1478.2	1998.6	8.8303	0.97046	1.2673	824.49	-0.83870	5.9795e-05	0.10151	vapor
1490.0	0.10000	0.19105	5.2342	1487.9	2011.3	8.8376	0.97124	1.2680	826.76	-0.84000	6.0017e-05	0.10194	vapor
1500.0	0.10000	0.18997	5.2639	1497.6	2024.0	8.8447	0.97201	1.2688	829.02	-0.84127	6.0238e-05	0.10236	vapor
1510.0	0.10000	0.18891	5.2936	1507.3	2036.7	8.8519	0.97277	1.2696	831.28	-0.84252	6.0458e-05	0.10279	vapor
1520.0	0.10000	0.18785	5.3233	1517.0	2049.4	8.8590	0.97352	1.2703	833.53	-0.84375	6.0679e-05	0.10322	vapor
1530.0	0.10000	0.18681	5.3530	1526.8	2062.1	8.8660	0.97426	1.2711	835.78	-0.84496	6.0899e-05	0.10364	vapor
1540.0	0.10000	0.18578	5.3826	1536.5	2074.8	8.8731	0.97499	1.2718	838.02	-0.84614	6.1118e-05	0.10406	vapor
