Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.0000	16.071	0.062222	155.13	217.35	5.6156	0.65664	0.93894	296.03	3.8643	1.7585e-05	0.022331	vapor
-20.000	1.0000	15.402	0.064925	161.80	226.73	5.6534	0.65687	0.93697	302.36	3.5916	1.8159e-05	0.023137	vapor
-10.000	1.0000	14.789	0.067618	168.47	236.09	5.6897	0.65733	0.93554	308.51	3.3449	1.8727e-05	0.023940	vapor
0.0000	1.0000	14.224	0.070302	175.14	245.44	5.7245	0.65802	0.93459	314.51	3.1204	1.9289e-05	0.024741	vapor
10.000	1.0000	13.703	0.072979	181.80	254.78	5.7581	0.65892	0.93406	320.36	2.9152	1.9843e-05	0.025539	vapor
20.000	1.0000	13.219	0.075650	188.47	264.12	5.7905	0.66003	0.93391	326.07	2.7269	2.0391e-05	0.026335	vapor
30.000	1.0000	12.769	0.078314	195.15	273.46	5.8219	0.66134	0.93410	331.65	2.5535	2.0933e-05	0.027131	vapor
40.000	1.0000	12.350	0.080974	201.83	282.81	5.8522	0.66283	0.93460	337.10	2.3932	2.1469e-05	0.027925	vapor
50.000	1.0000	11.958	0.083629	208.53	292.16	5.8816	0.66450	0.93539	342.44	2.2448	2.1999e-05	0.028720	vapor
60.000	1.0000	11.590	0.086280	215.24	301.52	5.9101	0.66634	0.93644	347.66	2.1068	2.2522e-05	0.029514	vapor
70.000	1.0000	11.245	0.088927	221.96	310.89	5.9378	0.66834	0.93774	352.78	1.9784	2.3040e-05	0.030309	vapor
80.000	1.0000	10.920	0.091571	228.70	320.27	5.9648	0.67050	0.93925	357.80	1.8586	2.3552e-05	0.031104	vapor
90.000	1.0000	10.614	0.094212	235.46	329.67	5.9910	0.67279	0.94096	362.73	1.7466	2.4059e-05	0.031900	vapor
100.00	1.0000	10.325	0.096850	242.24	339.09	6.0166	0.67521	0.94285	367.56	1.6417	2.4560e-05	0.032697	vapor
110.00	1.0000	10.052	0.099486	249.04	348.53	6.0416	0.67775	0.94490	372.31	1.5434	2.5056e-05	0.033495	vapor
120.00	1.0000	9.7924	0.10212	255.87	357.99	6.0659	0.68039	0.94711	376.98	1.4510	2.5547e-05	0.034293	vapor
130.00	1.0000	9.5464	0.10475	262.72	367.47	6.0898	0.68313	0.94944	381.57	1.3642	2.6033e-05	0.035093	vapor
