Nozzle	RPM	PRT	Q	EtaT
0.4	16368.4	1.830227474	0.95964	0.867042905
0.4	16368.4	1.932530924	0.995336	0.85405766
0.4	16368.4	2.069687927	1.035904	0.837697663
0.4	16368.4	2.255018796	1.080712	0.817893455
0.4	16368.4	2.507830134	1.128496	0.794865538
0.4	16368.4	2.856559698	1.17732	0.76907255
0.4	16368.4	3.343836475	1.224552	0.741044795
0.4	16368.4	4.03463465	1.267104	0.711139483
0.4	16368.4	5.0295777	1.30188	0.679307
0.4	16368.4	6.486760736	1.326496	0.644963023
0.4	16368.4	8.657864881	1.340008	0.6070271
0.4	16368.4	11.94802825	1.343536	0.564002038
0.4	16368.4	16	1.341376	0.522858943
0.4	18210.55	1.106518856	0.008	0.061025
0.4	18210.55	1.170533576	2.97E-01	0.182231645
0.4	18210.55	1.236348296	0.459368	0.587244943
0.4	18210.55	1.303963016	0.57088	0.758419093
0.4	18210.55	1.373377736	0.655752	0.839159578
0.4	18210.55	1.444592456	0.724224	0.878579465
0.4	18210.55	1.514228692	0.779104	0.896516038
0.4	18210.55	1.585501534	0.826488	0.903874123
0.4	18210.55	1.658415962	0.868072	0.905101205
0.4	18210.55	1.732969515	0.904992	0.902692243
0.4	18210.55	1.809162193	0.938096	0.898110253
0.4	18210.55	1.886993995	0.967984	0.892242748
0.4	18210.55	1.990624701	1.0028	0.883577098
0.4	18210.55	2.129486444	1.042384	0.87159182
0.4	18210.55	2.317004553	1.086112	0.855974908
0.4	18210.55	2.572607484	1.132776	0.836692183
0.4	18210.55	2.924883232	1.180456	0.813986195
0.4	18210.55	3.416619528	1.226608	0.788231795
0.4	18210.55	4.112966522	1.268216	0.759700198
0.4	18210.55	5.114703388	1.302264	0.72830651
0.4	18210.55	6.580020174	1.326408	0.693448768
0.4	18210.55	8.760498915	1.339688	0.654016753
0.4	18210.55	12.06083298	1.343192	0.60843389
0.4	18210.55	16	1.341176	0.565428673
0.4	20052.65	1.130560105	0.008	0.061025
0.4	20052.65	1.195256785	2.80E-01	0.061025
0.4	20052.65	1.261753465	0.442696	0.475351115
0.4	20052.65	1.330050145	0.5566	0.677195713
0.4	20052.65	1.400146825	0.643792	0.78323747
0.4	20052.65	1.472043505	0.714176	0.8421242
0.4	20052.65	1.56189006	0.784528	0.880558453
0.4	20052.65	1.654397903	0.843048	0.899324105
0.4	20052.65	1.74956968	0.892896	0.90729518
0.4	20052.65	1.847400174	0.936064	0.909080128
0.4	20052.65	1.947891958	0.973912	0.907225723
0.4	20052.65	2.051047894	1.007408	0.903206008
0.4	20052.65	2.189127385	1.0456	0.896152213
0.4	20052.65	2.375352924	1.08792	0.885498755
0.4	20052.65	2.628811492	1.133224	0.8709215
0.4	20052.65	2.977512449	1.179712	0.852376348
0.4	20052.65	3.463280058	1.224928	0.830012135
0.4	20052.65	4.149625666	1.265976	0.803961163
0.4	20052.65	5.13457019	1.29988	0.77408231
0.4	20052.65	6.571655299	1.32428	0.739764793
0.4	20052.65	8.704618229	1.338088	0.69989288
0.4	20052.65	11.92489412	1.3422	0.652845898
0.4	20052.65	16	1.340368	0.605284048
0.4	21894.75	1.157547899	0.008	0.061025
0.4	21894.75	1.223001539	2.64E-01	0.061025
0.4	21894.75	1.290255179	0.424704	0.361768258
0.4	21894.75	1.359308819	0.54012	0.58671023
0.4	21894.75	1.430162459	0.629224	0.714584795
0.4	21894.75	1.502816099	0.701376	0.79155032
