% TITLE
% OPT1
% Initial data file name
% OPT1
% OPT2
% OPT3
%---------------------------------------------------
%  NC           WC           PRC           ETAC           
%  RPM           KG/S           T-T           ----       
50415.7143	0.0435	1.3167	0.5839
50415.7143	0.0599	1.3043	0.6336
50415.7143	0.0766	1.2851	0.6756
50415.7143	0.0931	1.2618	0.6951
50415.7143	0.1091	1.2312	0.6877
50415.7143	0.1262	1.1948	0.6365
50415.7143	0.1426	1.1523	0.5552
64198.7143	0.0587	1.5365	0.6277
64198.7143	0.0801	1.5178	0.6901
64198.7143	0.102	1.4844	0.7373
64198.7143	0.1242	1.4494	0.7557
64198.7143	0.146	1.3991	0.7419
64198.7143	0.1666	1.3353	0.6915
64198.7143	0.1888	1.2485	0.5768
77971.2857	0.0837	1.8347	0.6634
77971.2857	0.1102	1.8009	0.7224
77971.2857	0.1356	1.7524	0.768
77971.2857	0.1618	1.6936	0.7812
77971.2857	0.1872	1.6173	0.7654
77971.2857	0.2135	1.5142	0.7098
77971.2857	0.2399	1.3617	0.5759
91771.8571	0.1062	2.2218	0.6731
91771.8571	0.1366	2.183	0.7273
91771.8571	0.1674	2.1224	0.7749
91771.8571	0.1974	2.053	0.7913
91771.8571	0.2266	1.9296	0.7773
91771.8571	0.2577	1.7644	0.7224
91771.8571	0.2873	1.5187	0.5781
105582.7143	0.1293	2.7208	0.6608
105582.7143	0.1638	2.6801	0.7182
105582.7143	0.1957	2.6171	0.7634
105582.7143	0.2309	2.5215	0.7894
105582.7143	0.2642	2.3541	0.7814
105582.7143	0.2984	2.0988	0.729
105582.7143	0.3309	1.7224	0.5777
119353.5	0.1728	3.3426	0.6796
119353.5	0.2038	3.289	0.7189
119353.5	0.2355	3.2405	0.7532
119353.5	0.2673	3.1186	0.7736
119353.5	0.2992	2.922	0.7764
119353.5	0.3291	2.5915	0.7392
119353.5	0.3439	2.3966	0.7032
119353.5	0.3597	1.9706	0.5764
133135.5	0.2036	4.1153	0.6567
133135.5	0.2263	4.0503	0.6832
133135.5	0.26	3.9852	0.7191
133135.5	0.2919	3.8708	0.7398
133135.5	0.3203	3.6809	0.7513
133135.5	0.3517	3.2385	0.7325
133135.5	0.3641	3.0186	0.7129
133135.5	0.3787	2.2873	0.5763
