30000,0.18,3.64,0.6405
30000,0.26,3.61,0.7035
30000,0.35,3.56,0.7455
30000,0.43,3.5,0.7665
30000,0.51,3.42,0.7665
30000,0.59,3.32,0.714
30000,0.67,3.19,0.6195
38000,0.25,4.26,0.693
38000,0.36,4.21,0.756
38000,0.46,4.12,0.819
38000,0.57,4.01,0.84
38000,0.67,3.88,0.8295
38000,0.79,3.69,0.7665
38000,0.89,3.45,0.651
46000,0.34,5.09,0.714
46000,0.47,5.02,0.7875
46000,0.6,4.87,0.84
46000,0.73,4.73,0.8715
46000,0.86,4.51,0.861
46000,0.99,4.21,0.798
46000,1.12,3.78,0.6405
54000,0.45,6.18,0.735
54000,0.59,6.08,0.798
54000,0.75,5.9,0.8505
54000,0.9,5.7,0.882
54000,1.05,5.35,0.8715
54000,1.19,4.92,0.819
54000,1.34,4.21,0.651
62000,0.57,7.57,0.7245
62000,0.73,7.45,0.7875
62000,0.9,7.28,0.84
62000,1.06,7.03,0.8715
62000,1.22,6.57,0.8715
62000,1.39,5.87,0.819
62000,1.54,4.78,0.651
70000,0.75,9.33,0.735
70000,0.9,9.17,0.7875
70000,1.06,9.02,0.8295
70000,1.23,8.68,0.8505
70000,1.38,8.17,0.861
70000,1.54,7.2,0.8295
70000,1.61,6.69,0.7875
70000,1.68,5.48,0.651
78000,0.95,11.48,0.735
78000,1.09,11.32,0.7665
78000,1.22,11.02,0.798
78000,1.36,10.67,0.819
78000,1.5,10.16,0.8295
78000,1.64,8.94,0.819
78000,1.7,8.42,0.798
78000,1.77,6.37,0.651
