Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	2.0000	28.193	0.035470	174.64	245.58	5.7163	0.75088	1.0948	319.08	3.0562	1.5563e-05	0.022808	vapor
-20.000	2.0000	26.983	0.037060	182.38	256.50	5.7603	0.75001	1.0892	326.08	2.8230	1.6042e-05	0.023487	vapor
-10.000	2.0000	25.879	0.038641	190.09	267.37	5.8024	0.74932	1.0845	332.88	2.6117	1.6515e-05	0.024163	vapor
0.0000	2.0000	24.868	0.040213	197.77	278.19	5.8428	0.74875	1.0804	339.49	2.4193	1.6983e-05	0.024829	vapor
10.000	2.0000	23.937	0.041777	205.42	288.98	5.8816	0.74831	1.0769	345.95	2.2433	1.7444e-05	0.025488	vapor
20.000	2.0000	23.076	0.043335	213.06	299.73	5.9189	0.74797	1.0740	352.25	2.0817	1.7900e-05	0.026139	vapor
30.000	2.0000	22.278	0.044886	220.69	310.46	5.9549	0.74772	1.0714	358.40	1.9328	1.8350e-05	0.026784	vapor
40.000	2.0000	21.536	0.046433	228.29	321.16	5.9896	0.74757	1.0691	364.43	1.7951	1.8794e-05	0.027421	vapor
50.000	2.0000	20.844	0.047975	235.89	331.84	6.0232	0.74750	1.0672	370.33	1.6675	1.9233e-05	0.028052	vapor
60.000	2.0000	20.197	0.049512	243.48	342.51	6.0557	0.74752	1.0656	376.12	1.5487	1.9667e-05	0.028678	vapor
70.000	2.0000	19.590	0.051046	251.06	353.16	6.0872	0.74763	1.0642	381.79	1.4381	2.0096e-05	0.029298	vapor
80.000	2.0000	19.020	0.052577	258.64	363.79	6.1177	0.74782	1.0631	387.37	1.3347	2.0520e-05	0.029912	vapor
90.000	2.0000	18.483	0.054104	266.21	374.42	6.1474	0.74810	1.0621	392.84	1.2378	2.0939e-05	0.030522	vapor
100.00	2.0000	17.976	0.055629	273.78	385.03	6.1763	0.74847	1.0614	398.22	1.1470	2.1354e-05	0.031128	vapor
110.00	2.0000	17.497	0.057151	281.34	395.65	6.2043	0.74892	1.0609	403.51	1.0616	2.1764e-05	0.031729	vapor
120.00	2.0000	17.044	0.058671	288.91	406.25	6.2316	0.74946	1.0605	408.71	0.98117	2.2169e-05	0.032327	vapor
130.00	2.0000	16.614	0.060189	296.48	416.86	6.2583	0.75010	1.0603	413.83	0.90534	2.2571e-05	0.032922	vapor
140.00	2.0000	16.206	0.061705	304.05	427.46	6.2843	0.75082	1.0602	418.87	0.83371	2.2968e-05	0.033513	vapor
150.00	2.0000	15.818	0.063219	311.62	438.06	6.3096	0.75163	1.0603	423.83	0.76598	2.3361e-05	0.034102	vapor
160.00	2.0000	15.448	0.064731	319.20	448.67	6.3344	0.75254	1.0606	428.72	0.70183	2.3750e-05	0.034688	vapor
170.00	2.0000	15.096	0.066242	326.79	459.27	6.3586	0.75353	1.0610	433.53	0.64103	2.4135e-05	0.035272	vapor
180.00	2.0000	14.760	0.067752	334.38	469.89	6.3823	0.75461	1.0615	438.28	0.58332	2.4517e-05	0.035853	vapor
190.00	2.0000	14.438	0.069260	341.98	480.50	6.4055	0.75578	1.0621	442.96	0.52849	2.4895e-05	0.036433	vapor
200.00	2.0000	14.131	0.070767	349.60	491.13	6.4281	0.75704	1.0629	447.58	0.47636	2.5270e-05	0.037012	vapor
