Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
10.000	0.10000	999.70	0.0010003	42.018	42.118	0.15108	4.1906	4.1952	1447.3	-0.23250	0.0013059	0.58005	liquid
20.000	0.10000	998.21	0.0010018	83.906	84.006	0.29646	4.1567	4.1841	1482.3	-0.22492	0.0010016	0.59846	liquid
30.000	0.10000	995.65	0.0010044	125.72	125.82	0.43673	4.1172	4.1798	1509.2	-0.21819	0.00079735	0.61550	liquid
40.000	0.10000	992.22	0.0010078	167.51	167.62	0.57237	4.0734	4.1794	1528.9	-0.21204	0.00065298	0.63063	liquid
50.000	0.10000	988.03	0.0010121	209.32	209.42	0.70377	4.0262	4.1813	1542.6	-0.20625	0.00054685	0.64359	liquid
60.000	0.10000	983.20	0.0010171	251.15	251.25	0.83125	3.9765	4.1850	1551.0	-0.20067	0.00046640	0.65439	liquid
70.000	0.10000	977.76	0.0010227	293.02	293.12	0.95509	3.9251	4.1901	1554.7	-0.19518	0.00040389	0.66313	liquid
80.000	0.10000	971.79	0.0010290	334.95	335.05	1.0755	3.8728	4.1968	1554.4	-0.18966	0.00035435	0.67001	liquid
90.000	0.10000	965.31	0.0010359	376.96	377.06	1.1928	3.8204	4.2052	1550.4	-0.18403	0.00031441	0.67527	liquid
99.606	0.10000	958.63	0.0010432	417.40	417.50	1.3028	3.7702	4.2152	1543.5	-0.17843	0.00028291	0.67897	liquid
99.606	0.10000	0.59034	1.6939	2505.6	2674.9	7.3588	1.5548	2.0784	471.99	67.038	1.2256e-05	0.025053	vapor
100.00	0.10000	0.58967	1.6959	2506.2	2675.8	7.3610	1.5535	2.0766	472.28	66.638	1.2270e-05	0.025079	vapor
110.00	0.10000	0.57315	1.7447	2521.9	2696.3	7.4155	1.5294	2.0415	479.22	57.980	1.2644e-05	0.025767	vapor
120.00	0.10000	0.55767	1.7932	2537.3	2716.6	7.4678	1.5150	2.0190	485.87	51.196	1.3023e-05	0.026492	vapor
130.00	0.10000	0.54311	1.8412	2552.6	2736.7	7.5183	1.5056	2.0034	492.32	45.596	1.3406e-05	0.027251	vapor
140.00	0.10000	0.52936	1.8891	2567.8	2756.7	7.5672	1.4996	1.9923	498.60	40.878	1.3793e-05	0.028039	vapor
150.00	0.10000	0.51636	1.9367	2582.9	2776.6	7.6148	1.4959	1.9846	504.73	36.861	1.4183e-05	0.028856	vapor
160.00	0.10000	0.50402	1.9841	2598.0	2796.4	7.6610	1.4941	1.9795	510.74	33.415	1.4576e-05	0.029697	vapor
170.00	0.10000	0.49229	2.0313	2613.1	2816.2	7.7062	1.4938	1.9764	516.63	30.439	1.4973e-05	0.030563	vapor
180.00	0.10000	0.48113	2.0785	2628.1	2836.0	7.7503	1.4946	1.9749	522.41	27.851	1.5372e-05	0.031450	vapor
190.00	0.10000	0.47048	2.1255	2643.2	2855.7	7.7934	1.4964	1.9746	528.10	25.588	1.5773e-05	0.032357	vapor
200.00	0.10000	0.46031	2.1724	2658.2	2875.5	7.8356	1.4988	1.9754	533.69	23.598	1.6177e-05	0.033284	vapor
210.00	0.10000	0.45059	2.2193	2673.3	2895.2	7.8769	1.5019	1.9770	539.21	21.837	1.6582e-05	0.034230	vapor
220.00	0.10000	0.44129	2.2661	2688.4	2915.0	7.9174	1.5055	1.9793	544.64	20.272	1.6990e-05	0.035192	vapor
