Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
690.00	0.10000	0.54946	1.8200	1038.5	1220.5	3.9568	1.0349	1.2240	464.00	0.50388	4.0181e-05	0.068112	vapor
700.00	0.10000	0.54381	1.8389	1048.8	1232.7	3.9694	1.0377	1.2269	466.30	0.48373	4.0477e-05	0.068783	vapor
710.00	0.10000	0.53828	1.8578	1059.2	1245.0	3.9820	1.0406	1.2297	468.60	0.46416	4.0771e-05	0.069452	vapor
720.00	0.10000	0.53286	1.8767	1069.6	1257.3	3.9944	1.0433	1.2324	470.88	0.44514	4.1063e-05	0.070117	vapor
730.00	0.10000	0.52755	1.8956	1080.1	1269.6	4.0068	1.0461	1.2352	473.15	0.42665	4.1353e-05	0.070780	vapor
740.00	0.10000	0.52234	1.9145	1090.6	1282.0	4.0191	1.0488	1.2379	475.41	0.40866	4.1642e-05	0.071439	vapor
750.00	0.10000	0.51723	1.9334	1101.1	1294.4	4.0312	1.0514	1.2405	477.66	0.39116	4.1929e-05	0.072096	vapor
760.00	0.10000	0.51222	1.9523	1111.6	1306.8	4.0433	1.0540	1.2431	479.90	0.37414	4.2214e-05	0.072749	vapor
770.00	0.10000	0.50731	1.9712	1122.1	1319.3	4.0553	1.0565	1.2456	482.12	0.35756	4.2498e-05	0.073399	vapor
780.00	0.10000	0.50249	1.9901	1132.7	1331.7	4.0672	1.0590	1.2481	484.34	0.34142	4.2781e-05	0.074047	vapor
790.00	0.10000	0.49777	2.0090	1143.3	1344.2	4.0790	1.0615	1.2506	486.55	0.32570	4.3062e-05	0.074692	vapor
800.00	0.10000	0.49313	2.0279	1154.0	1356.7	4.0907	1.0639	1.2530	488.75	0.31038	4.3341e-05	0.075333	vapor
