Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1450.0	0.20000	0.39088	2.5583	1449.1	1960.7	8.6028	0.96808	1.2649	817.83	-0.83471	5.9132e-05	0.10023	vapor
1460.0	0.20000	0.38863	2.5732	1458.8	1973.4	8.6101	0.96888	1.2657	820.11	-0.83608	5.9354e-05	0.10066	vapor
1470.0	0.20000	0.38640	2.5880	1468.5	1986.1	8.6174	0.96968	1.2665	822.39	-0.83743	5.9576e-05	0.10109	vapor
1480.0	0.20000	0.38420	2.6028	1478.2	1998.7	8.6246	0.97047	1.2673	824.67	-0.83875	5.9798e-05	0.10152	vapor
1490.0	0.20000	0.38202	2.6177	1487.9	2011.4	8.6318	0.97125	1.2681	826.94	-0.84005	6.0019e-05	0.10194	vapor
1500.0	0.20000	0.37986	2.6325	1497.6	2024.1	8.6390	0.97202	1.2688	829.20	-0.84132	6.0240e-05	0.10237	vapor
1510.0	0.20000	0.37773	2.6474	1507.3	2036.8	8.6461	0.97278	1.2696	831.46	-0.84257	6.0461e-05	0.10280	vapor
1520.0	0.20000	0.37563	2.6622	1517.0	2049.5	8.6532	0.97353	1.2704	833.71	-0.84379	6.0681e-05	0.10322	vapor
1530.0	0.20000	0.37355	2.6770	1526.8	2062.2	8.6603	0.97428	1.2711	835.95	-0.84500	6.0901e-05	0.10365	vapor
1540.0	0.20000	0.37149	2.6919	1536.5	2074.9	8.6673	0.97501	1.2718	838.19	-0.84618	6.1121e-05	0.10407	vapor
1550.0	0.20000	0.36945	2.7067	1546.3	2087.6	8.6743	0.97573	1.2726	840.43	-0.84734	6.1340e-05	0.10449	vapor
1560.0	0.20000	0.36744	2.7216	1556.0	2100.3	8.6813	0.97645	1.2733	842.65	-0.84848	6.1559e-05	0.10491	vapor
1570.0	0.20000	0.36544	2.7364	1565.8	2113.1	8.6882	0.97716	1.2740	844.88	-0.84960	6.1777e-05	0.10534	vapor
1580.0	0.20000	0.36347	2.7512	1575.6	2125.8	8.6951	0.97786	1.2747	847.09	-0.85070	6.1995e-05	0.10576	vapor
1590.0	0.20000	0.36152	2.7661	1585.4	2138.6	8.7020	0.97855	1.2754	849.30	-0.85178	6.2213e-05	0.10617	vapor
1600.0	0.20000	0.35959	2.7809	1595.2	2151.3	8.7088	0.97923	1.2760	851.51	-0.85284	6.2431e-05	0.10659	vapor
1610.0	0.20000	0.35768	2.7958	1604.9	2164.1	8.7156	0.97991	1.2767	853.71	-0.85388	6.2648e-05	0.10701	vapor
1620.0	0.20000	0.35580	2.8106	1614.7	2176.9	8.7224	0.98058	1.2774	855.90	-0.85490	6.2865e-05	0.10743	vapor
1630.0	0.20000	0.35393	2.8254	1624.6	2189.6	8.7291	0.98124	1.2781	858.09	-0.85590	6.3082e-05	0.10785	vapor
1640.0	0.20000	0.35208	2.8403	1634.4	2202.4	8.7358	0.98189	1.2787	860.27	-0.85689	6.3298e-05	0.10826	vapor
1650.0	0.20000	0.35025	2.8551	1644.2	2215.2	8.7425	0.98254	1.2793	862.45	-0.85786	6.3514e-05	0.10868	vapor
1660.0	0.20000	0.34844	2.8700	1654.0	2228.0	8.7491	0.98317	1.2800	864.62	-0.85881	6.3730e-05	0.10909	vapor
1670.0	0.20000	0.34664	2.8848	1663.9	2240.8	8.7557	0.98380	1.2806	866.79	-0.85975	6.3945e-05	0.10950	vapor
1680.0	0.20000	0.34487	2.8996	1673.7	2253.6	8.7623	0.98443	1.2812	868.95	-0.86067	6.4160e-05	0.10992	vapor
1690.0	0.20000	0.34311	2.9145	1683.5	2266.4	8.7688	0.98504	1.2819	871.11	-0.86157	6.4375e-05	0.11033	vapor
1700.0	0.20000	0.34138	2.9293	1693.4	2279.3	8.7753	0.98565	1.2825	873.26	-0.86245	6.4589e-05	0.11074	vapor
