Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.5000	21.059	0.047485	176.03	247.26	5.8073	0.74878	1.0805	318.63	3.1113	1.5453e-05	0.022530	vapor
-20.000	1.5000	20.173	0.049571	183.69	258.04	5.8508	0.74815	1.0765	325.51	2.8744	1.5937e-05	0.023225	vapor
-10.000	1.5000	19.362	0.051647	191.32	268.79	5.8924	0.74764	1.0730	332.20	2.6597	1.6416e-05	0.023912	vapor
0.0000	1.5000	18.617	0.053714	198.93	279.50	5.9324	0.74723	1.0701	338.73	2.4641	1.6887e-05	0.024589	vapor
10.000	1.5000	17.930	0.055773	206.53	290.19	5.9708	0.74692	1.0675	345.10	2.2852	1.7353e-05	0.025258	vapor
20.000	1.5000	17.293	0.057826	214.12	300.86	6.0078	0.74670	1.0653	351.33	2.1209	1.7812e-05	0.025919	vapor
30.000	1.5000	16.702	0.059872	221.69	311.50	6.0435	0.74656	1.0635	357.43	1.9695	1.8266e-05	0.026572	vapor
40.000	1.5000	16.151	0.061914	229.26	322.13	6.0780	0.74649	1.0619	363.41	1.8296	1.8713e-05	0.027218	vapor
50.000	1.5000	15.637	0.063951	236.81	332.74	6.1114	0.74650	1.0605	369.26	1.6999	1.9155e-05	0.027856	vapor
60.000	1.5000	15.155	0.065984	244.36	343.34	6.1437	0.74659	1.0594	375.01	1.5792	1.9592e-05	0.028489	vapor
70.000	1.5000	14.703	0.068013	251.91	353.93	6.1750	0.74676	1.0584	380.65	1.4668	2.0023e-05	0.029115	vapor
80.000	1.5000	14.278	0.070038	259.45	364.51	6.2054	0.74700	1.0577	386.19	1.3618	2.0450e-05	0.029736	vapor
90.000	1.5000	13.877	0.072061	266.99	375.08	6.2349	0.74733	1.0571	391.64	1.2634	2.0871e-05	0.030352	vapor
100.00	1.5000	13.499	0.074081	274.53	385.65	6.2636	0.74774	1.0567	396.99	1.1712	2.1287e-05	0.030963	vapor
