Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	3.0000	42.931	0.023293	303.94	373.82	2.7446	0.75492	1.1338	319.44	3.3770	1.5855e-05	0.023354	vapor
-20.000	3.0000	40.980	0.024402	311.90	385.10	2.7901	0.75373	1.1239	326.76	3.1275	1.6292e-05	0.024041	vapor
-10.000	3.0000	39.217	0.025499	319.80	396.30	2.8335	0.75279	1.1157	333.83	2.9015	1.6728e-05	0.024723	vapor
0.0000	3.0000	37.613	0.026586	327.66	407.42	2.8750	0.75207	1.1087	340.68	2.6957	1.7161e-05	0.025398	vapor
10.000	3.0000	36.147	0.027665	335.49	418.48	2.9147	0.75152	1.1028	347.34	2.5074	1.7591e-05	0.026068	vapor
20.000	3.0000	34.799	0.028736	343.27	429.48	2.9529	0.75113	1.0978	353.81	2.3344	1.8018e-05	0.026731	vapor
30.000	3.0000	33.556	0.029801	351.04	440.44	2.9897	0.75088	1.0934	360.12	2.1748	1.8441e-05	0.027388	vapor
40.000	3.0000	32.405	0.030859	358.77	451.35	3.0251	0.75077	1.0897	366.28	2.0271	1.8859e-05	0.028039	vapor
50.000	3.0000	31.335	0.031913	366.50	462.23	3.0593	0.75078	1.0865	372.29	1.8899	1.9273e-05	0.028685	vapor
60.000	3.0000	30.338	0.032962	374.20	473.08	3.0924	0.75092	1.0838	378.17	1.7622	1.9683e-05	0.029325	vapor
70.000	3.0000	29.406	0.034006	381.89	483.91	3.1244	0.75118	1.0815	383.92	1.6430	2.0089e-05	0.029961	vapor
80.000	3.0000	28.533	0.035047	389.57	494.72	3.1554	0.75156	1.0796	389.56	1.5314	2.0490e-05	0.030593	vapor
90.000	3.0000	27.712	0.036085	397.25	505.50	3.1855	0.75205	1.0780	395.08	1.4267	2.0886e-05	0.031221	vapor
100.00	3.0000	26.940	0.037120	404.92	516.28	3.2148	0.75267	1.0767	400.50	1.3284	2.1279e-05	0.031845	vapor
110.00	3.0000	26.211	0.038151	412.59	527.04	3.2433	0.75340	1.0758	405.82	1.2358	2.1667e-05	0.032466	vapor
120.00	3.0000	25.523	0.039180	420.25	537.79	3.2710	0.75424	1.0751	411.04	1.1485	2.2050e-05	0.033084	vapor
130.00	3.0000	24.871	0.040207	427.92	548.54	3.2980	0.75520	1.0746	416.18	1.0660	2.2430e-05	0.033699	vapor
140.00	3.0000	24.253	0.041232	435.59	559.29	3.3243	0.75627	1.0743	421.22	0.98802	2.2806e-05	0.034312	vapor
150.00	3.0000	23.666	0.042255	443.27	570.03	3.3500	0.75744	1.0743	426.19	0.91415	2.3178e-05	0.034923	vapor
160.00	3.0000	23.108	0.043276	450.95	580.77	3.3751	0.75873	1.0745	431.07	0.84412	2.3546e-05	0.035533	vapor
170.00	3.0000	22.576	0.044295	458.64	591.52	3.3996	0.76011	1.0748	435.87	0.77765	2.3910e-05	0.036141	vapor
180.00	3.0000	22.069	0.045312	466.33	602.27	3.4236	0.76160	1.0754	440.61	0.71450	2.4271e-05	0.036748	vapor
190.00	3.0000	21.585	0.046329	474.04	613.03	3.4471	0.76318	1.0761	445.27	0.65445	2.4629e-05	0.037354	vapor
200.00	3.0000	21.122	0.047344	481.76	623.79	3.4701	0.76486	1.0769	449.86	0.59729	2.4982e-05	0.037959	vapor
210.00	3.0000	20.679	0.048357	489.50	634.57	3.4926	0.76662	1.0779	454.39	0.54284	2.5333e-05	0.038563	vapor
220.00	3.0000	20.255	0.049370	497.24	645.35	3.5147	0.76847	1.0791	458.85	0.49094	2.5680e-05	0.039167	vapor
