Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
-30.000	1.5000	21.141	0.047301	308.66	379.61	2.9693	0.74862	1.0850	318.10	3.5878	1.5446e-05	0.022884	vapor
-20.000	1.5000	20.243	0.049400	316.34	390.44	3.0130	0.74809	1.0806	325.04	3.3261	1.5912e-05	0.023605	vapor
-10.000	1.5000	19.422	0.051488	323.99	401.23	3.0547	0.74770	1.0769	331.79	3.0886	1.6372e-05	0.024315	vapor
0.0000	1.5000	18.668	0.053567	331.63	411.98	3.0948	0.74743	1.0738	338.36	2.8721	1.6826e-05	0.025016	vapor
10.000	1.5000	17.974	0.055637	339.25	422.70	3.1334	0.74726	1.0711	344.77	2.6737	1.7274e-05	0.025708	vapor
20.000	1.5000	17.331	0.057699	346.85	433.40	3.1705	0.74720	1.0688	351.04	2.4913	1.7716e-05	0.026390	vapor
30.000	1.5000	16.735	0.059755	354.45	444.08	3.2064	0.74723	1.0669	357.16	2.3229	1.8152e-05	0.027065	vapor
40.000	1.5000	16.180	0.061805	362.03	454.74	3.2410	0.74736	1.0653	363.15	2.1669	1.8582e-05	0.027732	vapor
50.000	1.5000	15.662	0.063850	369.61	465.39	3.2744	0.74759	1.0640	369.02	2.0220	1.9007e-05	0.028392	vapor
60.000	1.5000	15.177	0.065890	377.19	476.02	3.3068	0.74792	1.0629	374.78	1.8871	1.9426e-05	0.029045	vapor
70.000	1.5000	14.722	0.067926	384.76	486.65	3.3383	0.74834	1.0621	380.42	1.7611	1.9840e-05	0.029693	vapor
80.000	1.5000	14.294	0.069959	392.33	497.26	3.3688	0.74887	1.0615	385.97	1.6432	2.0249e-05	0.030335	vapor
90.000	1.5000	13.891	0.071987	399.90	507.88	3.3984	0.74950	1.0611	391.41	1.5326	2.0652e-05	0.030973	vapor
100.00	1.5000	13.511	0.074013	407.47	518.49	3.4272	0.75024	1.0609	396.75	1.4287	2.1051e-05	0.031606	vapor
110.00	1.5000	13.152	0.076035	415.04	529.10	3.4553	0.75108	1.0609	402.01	1.3309	2.1445e-05	0.032235	vapor
120.00	1.5000	12.811	0.078056	422.62	539.71	3.4826	0.75202	1.0611	407.18	1.2386	2.1834e-05	0.032861	vapor
130.00	1.5000	12.489	0.080073	430.21	550.32	3.5093	0.75307	1.0614	412.26	1.1516	2.2219e-05	0.033483	vapor
140.00	1.5000	12.182	0.082089	437.80	560.93	3.5353	0.75422	1.0619	417.26	1.0692	2.2600e-05	0.034103	vapor
150.00	1.5000	11.890	0.084102	445.40	571.56	3.5607	0.75548	1.0625	422.19	0.99128	2.2976e-05	0.034721	vapor
160.00	1.5000	11.613	0.086113	453.01	582.18	3.5855	0.75684	1.0633	427.04	0.91740	2.3348e-05	0.035336	vapor
170.00	1.5000	11.348	0.088123	460.64	592.82	3.6098	0.75829	1.0643	431.82	0.84731	2.3716e-05	0.035950	vapor
180.00	1.5000	11.095	0.090131	468.27	603.47	3.6335	0.75984	1.0653	436.53	0.78074	2.4080e-05	0.036562	vapor
190.00	1.5000	10.853	0.092138	475.92	614.13	3.6568	0.76148	1.0665	441.17	0.71746	2.4441e-05	0.037173	vapor
200.00	1.5000	10.622	0.094143	483.59	624.80	3.6796	0.76321	1.0678	445.75	0.65725	2.4798e-05	0.037783	vapor
210.00	1.5000	10.401	0.096147	491.27	635.49	3.7020	0.76503	1.0693	450.27	0.59993	2.5152e-05	0.038391	vapor
220.00	1.5000	10.189	0.098150	498.96	646.19	3.7239	0.76692	1.0708	454.72	0.54531	2.5502e-05	0.038999	vapor
